"","nodeid","parent","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"1","A1","base",1,2,0.508333333333333,-0.305,0.242540494458653,0.0200341005967604
"2","A10","A9",1,2,0.580357142857143,0.348214285714286,6.64285714285714,1.11904761904762
"3","A11","A10",1,2,0.625,-0.205769230769231,0.219171779141104,0.173466257668712
"4","A56","A2",0.3,2,0.716101694915254,0.00423728813559322,0.967741935483871,0.604838709677419
"5","A13","A4",0,NA,NA,NA,NA,NA
"6","A14","A4",0,NA,NA,NA,NA,NA
"7","A53","A5",0.1,2,0.419161676646707,0.0798403193612774,0.339080459770115,0.113026819923372
"8","A16","A5",0.3,2,0.552906976744186,-0.220348837209302,0.513157894736842,0.460526315789474
"9","A17","A7",0,NA,NA,NA,NA,NA
"10","A18","A6",0,NA,NA,NA,NA,NA
"11","A19","A8",0.3,3,0.584722222222222,NA,0.104368932038835,NA
"12","A2","A1",1,2,0.49016393442623,0.29672131147541,0.722222222222222,0.247126436781609
"13","A20","A8",0.5,2,0.71048951048951,-0.0636363636363637,0.236338797814208,0.157103825136612
"14","A21","A9",0.5,3,0.497569444444444,NA,0.40968992248062,NA
"15","A22","A10",0,NA,NA,NA,NA,NA
"16","A23","A9",0.6,2,0.728145695364238,0.175827814569536,0.104790419161677,0.0149700598802395
"17","A24","A19",0.3,2,0.668960244648318,-0.19954128440367,2.25,1.82692307692308
"18","A25","A24",0.3,2,0.587147887323944,0.247359154929577,10.25,6.25
"19","A26","A25",0.2,3,0.60407876230661,NA,0.126721763085399,NA
"20","A27","A26",0.2,2,0.824873096446701,0.0583756345177665,6.40625,0.84375
"21","A28","A27",0.1,2,0.609195402298851,-0.0316091954022989,0.21551724137931,0.00862068965517242
"22","A29","A28",0,NA,NA,NA,NA,NA
"23","A4","A2",1,3,0.580555555555556,NA,0.472990777338603,NA
"24","A30","A28",0,NA,NA,NA,NA,NA
"25","A31","A27",0.1,2,0.637417218543046,-0.124172185430464,0.0758426966292135,0.0308988764044944
"26","A32","A31",0,NA,NA,NA,NA,NA
"27","A33","A31",0,NA,NA,NA,NA,NA
"28","A34","A26",0,NA,NA,NA,NA,NA
"29","A35","A26",0,NA,NA,NA,NA,NA
"30","A36","A25",0,NA,NA,NA,NA,NA
"31","A37","A24",0.2,2,0.669381107491857,-0.180781758957655,0.101415094339623,0.0306603773584906
"32","A38","A37",0.1,2,0.605363984674329,0.130268199233716,7.3,2.03333333333333
"33","A39","A38",0,NA,NA,NA,NA,NA
"34","A40","A38",0,NA,NA,NA,NA,NA
"35","A41","A37",0,NA,NA,NA,NA,NA
"36","A42","A19",0.1,3,0.438058748403576,NA,0.288888888888889,NA
"37","A43","A42",0,NA,NA,NA,NA,NA
"38","A44","A42",0,NA,NA,NA,NA,NA
"39","A45","A42",0,NA,NA,NA,NA,NA
"40","A46","A19",0.2,2,0.735632183908046,0.204022988505747,6.19230769230769,2.42307692307692
"41","A47","A46",0,NA,NA,NA,NA,NA
"42","A48","A46",0.2,2,0.585626911314985,-0.129969418960245,0.0625,0.0267857142857143
"43","A49","A48",0,NA,NA,NA,NA,NA
"44","A5","A4",1,3,0.445323741007194,NA,0.748563218390805,NA
"45","A50","A48",0.1,2,0.75,0.126068376068376,4.125,1.625
"46","A51","A50",0,NA,NA,NA,NA,NA
"47","A52","A50",0,NA,NA,NA,NA,NA
"48","A54","A53",0,NA,NA,NA,NA,NA
"49","A55","A53",0,NA,NA,NA,NA,NA
"50","A57","A56",0.2,3,0.550196078431373,NA,0.588034188034188,NA
"51","A58","A57",0.2,3,0.530479896238651,NA,0.272988505747126,NA
"52","A59","A58",0.1,2,0.720414201183432,0.0754437869822485,4.25,0.65
"53","A6","A5",0.9,2,0.647268408551069,-0.252969121140143,3.5625,2.5625
"54","A60","A57",0.2,3,0.524691358024691,NA,0.394495412844037,NA
"55","A61","A60",0.1,2,0.764240506329114,0.0522151898734177,3.375,0.0416666666666665
"56","A62","A56",0.3,2,0.717857142857143,-0.0916666666666667,2.55555555555556,1.6
"57","A63","A62",0.3,2,0.572794117647059,-0.108088235294118,2.83720930232558,0.0930232558139536
"58","A64","A63",0.2,3,0.666666666666667,NA,0.361581920903955,NA
"59","A65","A64",0.1,2,0.713414634146341,-0.0975609756097561,4.52777777777778,0.472222222222222
"60","A66","A64",0.1,3,0.486033519553073,NA,0.144578313253012,NA
"61","A67","A62",0.1,3,0.5,NA,0.360071301247772,NA
"62","A68","A16",0.3,2,0.746616541353383,-0.0774436090225564,17.625,1.45833333333333
"63","A69","A68",0.2,3,0.638077858880779,NA,0.494845360824742,NA
"64","A7","A6",0.8,2,0.606860158311346,0.29023746701847,5.140625,4.609375
"65","A70","A69",0.1,2,0.68960244648318,0.117737003058104,6.67857142857143,3.10714285714286
"66","A71","A69",0.2,3,0.541143654114365,NA,0.416666666666667,NA
"67","A72","A71",0.1,3,0.509259259259259,NA,0.257861635220126,NA
"68","U3","A72",0,NA,NA,NA,NA,NA
"69","A74","A68",0.2,3,0.648689138576779,NA,0.269286754002911,NA
"70","A75","A74",0.2,2,0.737373737373737,0.0732323232323232,5.68181818181818,1.86363636363636
"71","A76","A75",0.2,2,0.504672897196262,0.186915887850467,0.0445783132530121,0
"72","A77","A76",0.1,2,0.718468468468468,0.0653153153153153,1.21621621621622,0.135135135135135
"73","A8","A7",0.8,3,0.529411764705882,NA,0.903846153846154,NA
"74","A9","A8",0.8,3,0.54051282051282,NA,2.68627450980392,NA
"75","B1","A21",0.2,3,0.579961464354528,NA,0.35050505050505,NA
"76","B10","B8",0.4,3,0.484007707129094,NA,0.350375939849624,NA
"77","B100","B99",0.4,2,0.706928838951311,-0.25561797752809,5.99305555555556,4.60416666666667
"78","B101","B100",0.2,2,0.53941908713693,0.149377593360996,0.524246395806029,0.255570117955439
"79","B102","B101",0,NA,NA,NA,NA,NA
"80","B103","B101",0.2,2,0.730421686746988,0.197289156626506,0.226890756302521,0.0453781512605042
"81","B104","B103",0,NA,NA,NA,NA,NA
"82","B105","B103",0.1,2,0.647727272727273,0.183441558441558,1.50617283950617,0.796296296296296
"83","B106","B105",0,NA,NA,NA,NA,NA
"84","B107","B105",0,NA,NA,NA,NA,NA
"85","B108","B99",0.3,2,0.690510948905109,-0.00729927007299271,0.512331838565022,0.344170403587444
"86","B109","B108",0.2,2,0.785564853556485,-0.0345188284518828,4.51333333333333,0.513333333333333
"87","B11","B10",0,NA,NA,NA,NA,NA
"88","B110","B109",0.2,3,0.467038068709378,NA,0.0442086648983201,NA
"89","B111","B110",0,NA,NA,NA,NA,NA
"90","B112","B110",0,NA,NA,NA,NA,NA
"91","B113","B110",0.1,2,0.605882352941177,0.241176470588235,1.51515151515152,0.848484848484849
"92","B114","B113",0,NA,NA,NA,NA,NA
"93","B115","B113",0,NA,NA,NA,NA,NA
"94","B116","B109",0.1,2,0.651785714285714,0.123724489795918,0.506666666666667,0.156666666666667
"95","B117","B116",0,NA,NA,NA,NA,NA
"96","B118","B116",0,NA,NA,NA,NA,NA
"97","B119","B108",0.2,3,0.616096866096866,NA,0.367364746945899,NA
"98","B12","B10",0,NA,NA,NA,NA,NA
"99","B120","B119",0,NA,NA,NA,NA,NA
"100","B121","B119",0.1,2,0.6440329218107,-0.0637860082304527,0.110552763819095,0.0150753768844221
"101","B123","B121",0,NA,NA,NA,NA,NA
"102","B124","B121",0,NA,NA,NA,NA,NA
"103","B125","B119",0.2,2,0.842245989304813,0.072192513368984,8.33928571428571,0.553571428571429
"104","B126","B125",0.1,2,0.567708333333333,0.168402777777778,0.10894495412844,0.069954128440367
"105","B127","B126",0,NA,NA,NA,NA,NA
"106","B128","B126",0,NA,NA,NA,NA,NA
