,beta,gamma,group
1,0.825617358,1.148947602,hht
2,0.296288825,1.302391171,hht
3,1.001181263,6.526244152,hht
4,0.281852005,0.045774665,hht
5,1.132393409,0.740482579,hht
6,0.599909348,1.43694176,hht
7,0.562007877,3.140701411,hht
8,0.811215659,1.338242225,hht
9,0.856911218,2.458889027,hht
10,0.576369489,0.740976081,hht
11,0.627358913,2.258475792,hht
12,0.407222224,1.20605184,hht
13,0.428980084,0.152357154,hht
14,1.588221106,5.153742025,hht
15,0.806566778,1.282383811,hht
16,0.924825594,1.627676747,hht
17,0.88461643,1.193887267,hht
18,0.540297603,0.671344381,hht
19,0.802890904,0.24768134,hht
20,0.600657901,1.947679191,hht
21,2.273539233,2.769559121,hht
22,1.664550178,2.96536261,hht
23,0.410879242,2.319998091,hht
24,0.72792819,0.490429624,hht
25,1.136117604,3.697154897,hht
26,0.386020557,1.174847965,hht
27,0.668961367,1.960167323,hht
28,0.774741354,2.591624704,hht
29,0.727900485,0.572950479,hht
30,1.230222837,5.94668029,hht
31,0.83246218,0.160335323,hht
32,1.860872678,6.93072522,hht
33,0.702296864,8.587010883,hht
34,0.669418061,2.510484845,hht
35,0.814818617,4.792407792,hht
36,0.785924548,0.462562348,hht
37,0.573825816,2.244711817,hht
38,0.58638278,0.080785725,hht
39,0.824051939,2.003197081,hht
40,0.871529743,1.709221573,hht
41,0.836718719,7.888295252,hht
42,0.46516236,0.652151951,hht
43,0.231706047,0.087038384,hht
44,0.741688784,1.112731927,hht
45,0.57339075,0.666518339,hht
46,0.680497887,1.889535009,hht
47,0.64533265,0.095678591,hht
48,2.103200539,12.65979162,hht
49,1.591838525,5.481123744,hht
50,0.472148787,2.480397994,hht
51,0.725610173,0.486220509,hht
52,0.526602865,1.521308152,hht
53,0.474650998,2.322551566,hht
54,1.092753697,1.193801559,hht
55,1.001395504,4.487468455,hht
56,0.684512975,1.68825614,hht
57,0.69364386,0.771972933,hht
58,1.0431723,6.248802651,hht
59,0.490467209,6.704838812,hht
60,0.593113359,1.379523773,hht
61,0.554090131,1.085721153,hht
62,1.392776339,5.667824744,hht
63,0.470005889,2.920834173,hht
64,0.425404139,3.535812919,hht
65,1.283664791,2.526432962,hht
66,0.847926009,0.14068753,hht
67,0.844126183,7.119740502,hht
68,0.497322164,0.233261019,hht
69,0.648083792,3.161495167,hht
70,0.641284761,0.420283362,hht
71,0.904521726,0.122225381,hht
72,0.702814557,1.726781414,hht
73,0.481644302,9.967152203,hht
74,0.901725191,0.140109304,hht
75,0.619511135,0.820271032,hht
76,0.680817531,2.365887131,hht
77,0.765968013,1.248428113,hht
78,0.676545782,0.2163488,hht
79,0.829885759,0.768699248,hht
80,1.349017804,1.282158574,hht
81,1.088261091,0.985100645,hht
82,0.595283009,0.921459642,hht
83,0.729868799,0.246190019,hht
84,0.717786932,3.019223044,hht
85,0.620095431,2.648819273,hht
86,0.880170239,0.657145635,hht
87,0.845925148,1.51420776,hht
88,0.751784605,7.608183133,hht
89,0.59132808,0.894652822,hht
90,0.382888137,3.419069523,hht
91,0.401159028,0.218032668,hht
92,0.549225872,0.445313665,hht
93,0.297809853,0.519969394,hht
94,1.080770488,5.552523688,hht
95,0.746824099,1.36711058,hht
96,0.665127512,1.556356132,hht
97,0.536424224,0.821919356,hht
98,1.504226391,7.039646617,hht
99,0.705666689,0.54031526,hht
100,0.425613721,0.184012417,hht
101,0.816005626,1.877256157,hht
102,0.539998574,0.365799663,hht
103,0.4657942,0.433064846,hht
104,1.048185537,1.04019787,hht
105,1.634355847,3.69695121,hht
106,1.442132166,0.75776041,hht
107,0.685585289,1.711536967,hht
108,0.44460669,0.421567262,hht
109,0.965912468,2.083390409,hht
110,0.528478536,0.525240472,hht
111,2.146165681,5.400531687,hht
112,1.307461332,11.1564419,hht
113,0.826163798,1.457739055,hht
114,0.626101626,0.59008858,hht
115,0.830169832,0.825951991,hht
116,2.054072774,5.214238989,hht
117,0.939145606,1.236865416,hht
118,0.519956906,1.199621877,hht
119,0.821477368,4.310884603,hht
120,0.686059648,2.124596287,hht
121,0.884329264,1.278709858,hht
122,0.743595557,0.433910515,hht
123,0.853677568,0.223048244,hht
124,0.799637415,2.368871115,hht
125,0.967367071,0.349285628,hht
126,0.59959239,1.735028057,hht
127,0.444485239,4.251715777,hht
128,0.847101418,2.550940295,hht
129,0.625412091,0.094690078,hht
130,1.041250648,14.29623247,hht
131,0.627005492,3.688294245,hht
132,0.48224224,4.005872014,hht
133,1.058079736,10.85887507,hht
134,0.717829808,0.507084256,hht
135,0.859419468,3.663049471,hht
136,0.8676925,3.546401887,hht
137,0.664866812,0.559098267,hht
138,0.603748848,2.346609271,hht
139,0.464611714,0.075165149,hht
140,0.528522667,0.258011966,hht
141,1.071601698,0.459604378,hht
142,0.683618189,1.689313225,hht
143,0.780874309,1.526874078,hht
144,1.545809841,7.637490409,hht
145,1.258552154,0.510254476,hht
146,0.702900304,2.57289268,hht
147,0.563722469,2.900956834,hht
148,0.723396051,8.859826082,hht
149,0.512367452,6.006859891,hht
150,1.400631002,16.82156474,hht
151,0.409177147,0.551377385,hht
152,0.68594932,3.798446905,hht
153,0.716879131,0.041944117,hht
154,1.04716743,4.916563522,hht
155,0.665263423,0.728872661,hht
156,0.860176341,6.504228609,hht
157,0.861327127,0.560173371,hht
158,1.051289251,5.041065196,hht
159,0.889480423,0.152726412,hht
160,1.136077257,1.068676259,hht
161,0.884775203,1.285403693,hht
162,0.761886432,4.558308646,hht
163,0.601021335,5.653657154,hht
164,0.698948118,0.352924043,hht
165,1.174642999,8.824619878,hht
166,0.9474588,0.215199454,hht
167,0.311408298,0.49997265,hht
168,1.480059954,4.369367693,hht
169,0.967236979,2.04788803,hht
170,0.374169473,0.640880599,hht
171,1.557987997,1.623356327,hht
172,0.657741832,1,hht
173,0.511790985,2.258424874,hht
174,0.61298294,2.443210672,hht
175,1.140168787,3.205169526,hht
176,0.418847323,11.47635074,hht
177,0.605357842,1.7118723,hht
178,0.385799882,1.396926875,hht
179,0.379630533,1.90254566,hht
180,0.489552643,1.384852315,hht
181,0.597004083,0.218627951,hht
182,0.943198742,1.033420685,hht
183,1.916483567,9.529225884,hht
184,0.63986377,1.20536144,hht
185,0.671115279,0.934850426,hht
186,0.693030304,1.30129253,hht
187,0.837533792,2.316589984,hht
188,1.281047824,6.702877581,hht
189,0.912828308,1.285326741,hht
190,0.831213236,0.619348888,hht
191,1.03116868,4.317283971,hht
192,0.231607658,0.054508994,hht
193,0.400912197,0.87612453,hht
194,0.599536254,0.754866893,hht
195,0.515760526,0.552834164,hht
196,0.999906088,1.059022989,hht
197,0.726160017,0.486821426,hht
198,1.004172309,3.321066872,hht
199,0.508835474,0.536429695,hht
200,1.469656523,2.777919536,hht
201,0.523547521,3.2671112,hht
202,1.023166465,1.671649656,hht
203,0.651379444,2.39426169,hht
204,2.280928029,6.727368464,hht
205,0.677281551,1.928485927,hht
206,0.871120803,11.2011636,hht
207,1.096174982,2.315752455,hht
208,0.737929006,0.545185551,hht
209,0.760866451,1.2955201,hht
210,0.622299158,1.574053575,hht
211,0.733665599,0.483781201,hht
212,0.358764344,0.09474752,hht
213,1.146722573,3.422119707,hht
214,0.459074793,1.835416784,hht
215,0.880803426,5.755388163,hht
216,0.566245844,0.698485874,hht
217,0.500671958,1.32975637,hht
218,0.625405799,2.999179828,hht
219,0.755716018,0.706363737,hht
220,0.790060554,0.60923407,hht
221,0.801224223,0.426310281,hht
222,0.892850913,0.328304597,hht
223,0.433815361,0.349579468,hht
224,0.837122967,1.223137529,hht
225,1.033305422,4.9950623,hht
226,0.798218945,4.599122008,hht
227,0.501569776,0.121477179,hht
228,1.136309364,0.285333089,hht
229,0.685459998,4.271353368,hht
230,0.815787847,3.265676915,hht
231,1.207124005,0.501836364,hht
232,0.919445358,2.552574346,hht
233,0.4956242,0.595747236,hht
234,0.406287175,1.446388817,hht
235,0.368532112,0.93231595,hht
236,2.257614106,9.319534219,hht
237,1.370528844,1.314575165,hht
238,0.743056223,1.878239053,hht
239,0.601632863,0.986687299,hht
240,0.86445419,1.147013944,hht
241,0.965541185,8.581195044,hht
242,0.660077533,2.868927736,hht
243,1.247930306,1.280248162,hht
244,0.96473085,0.627964626,hht
245,1.697218862,6.053532428,hht
246,0.644165855,0.63284696,hht
247,1.377821374,2.027232581,hht
248,0.820657225,0.53391486,hht
249,0.450687503,0.431230534,hht
250,0.792497055,1.616721235,hht
251,1.420245829,3.966091717,hht
252,0.716353233,0.487175681,hht
253,0.955103609,4.932997018,hht
254,1.661377846,6.521322915,hht
255,0.670774697,0.555630509,hht
256,0.848778499,1.272399423,hht
257,1.175945023,3.043238934,hht
258,2.484915768,5.911122273,hht
259,0.769917083,0.439078687,hht
260,1.524243377,2.797723228,hht
261,0.706586714,1.90418003,hht
262,0.435786592,5.827324424,hht
263,0.453680405,0.347034363,hht
264,0.401419945,1.223146271,hht
265,0.742719122,0.58626786,hht
266,0.431955707,0.352597142,hht
267,1.927340279,10.76821553,hht
268,0.654411719,0.400969915,hht
269,0.853596039,2.583426987,hht
270,0.560036636,3.433611047,hht
271,0.752437678,3.041922021,hht
272,0.373055109,0.410087967,hht
273,1.111110131,3.107761424,hht
274,0.456342797,0.587472065,hht
275,1.144048674,1.921857866,hht
276,0.675120138,0.560989596,hht
277,0.809148144,1.150757254,hht
278,1.388832336,2.747743433,hht
279,1.432650656,2.904543046,hht
280,0.51236201,0.417795071,hht
281,1.102208613,2.453711897,hht
282,0.390981434,0.197325857,hht
283,0.63051999,2.642734048,hht
284,0.70191628,1.911291204,hht
285,0.54076228,0.756568246,hht
286,1.034573136,2.57526379,hht
287,0.521764579,1.127603484,hht
288,0.554164062,0.313859278,hht
289,0.675871783,1.34420119,hht
290,1.068548951,2.977764901,hht
291,0.962413385,14.71266241,hht
292,0.905018749,0.744844911,hht
293,0.944352673,0.277686883,hht
294,0.503757562,0.562935762,hht
295,0.993838833,0.751164336,hht
296,0.643829405,1.783113137,hht
297,1.076889085,0.25361713,hht
298,0.938979215,0.756129015,hht
299,1.098800885,0.662601359,hht
300,1.130378368,1.663071927,hht
301,0.805548943,0.271949628,hht
302,0.436546628,0.44977233,hht
303,0.487489146,1.391320602,hht
304,0.552436119,3.699062759,hht
305,0.433120482,1.269208147,hht
306,0.874825224,7.17648385,hht
307,0.505825499,0.049265544,hht
308,0.855425236,0.258542808,hht
309,1.006618642,3.101661449,hht
310,1.004785266,0.95835515,hht
311,0.640872733,0.599326102,hht
312,1.561594623,0.258270902,hht
313,0.96234262,3.201747665,hht
314,0.780506355,0.463776396,hht
315,0.868911462,0.94509053,hht
316,0.601724022,2.761885024,hht
317,0.672251597,4.227386689,hht
318,0.96886925,0.624195328,hht
319,0.610982655,12.89177806,hht
320,0.544234589,1.70893824,hht
321,0.891236008,1.585365717,hht
322,0.826725785,0.444671236,hht
323,0.747700327,0.288504738,hht
324,1.098259143,13.09925933,hht
325,0.777467216,0.64918922,hht
326,0.719066277,4.947505612,hht
327,0.697011233,1.677178841,hht
328,0.803666032,0.087462778,hht
329,0.925688269,0.7697227,hht
330,0.885301602,2.963392068,hht
331,0.975063755,0.189908393,hht
332,1.120100928,3.985246487,hht
333,0.794538058,2.680713922,hht
334,1.111006399,0.662851521,hht
335,1.01096055,0.32614476,hht
336,0.966378913,10.70791553,hht
337,1.013493947,3.894189403,hht
338,0.962537359,1.619036107,hht
339,0.889885324,1.894190219,hht
340,1.115784632,2.945170389,hht
341,0.850945147,0.604192044,hht
342,0.468742026,0.239540566,hht
343,0.991890169,0.217804071,hht
344,0.566303631,0.828883,hht
345,1.015782459,14.96824258,hht
346,0.678693866,0.39046047,hht
347,0.679865839,0.721162547,hht
348,0.812933137,0.151317938,hht
349,0.816831858,0.632293957,hht
350,0.86661324,0.838366639,hht
351,1.093719195,2.925875785,hht
352,0.971763633,1.2458351,hht
353,0.925137238,4.498300866,hht
354,0.689575684,14.01991805,hht
355,0.576956643,0.125170666,hht
356,0.680484689,3.343822544,hht
357,0.940297672,1.151582138,hht
358,0.869218318,3.190715207,hht
359,0.767329481,0.213871068,hht
360,0.95660741,2.094490648,hht
361,0.663369188,0.074100894,hht
362,0.914981891,3.340463797,hht
363,0.698767643,1.259981527,hht
364,1.713205031,2.878387393,hht
365,0.72105113,1.182820697,hht
366,0.963988351,2.288470781,hht
367,1.173181551,3.011281573,hht
368,0.686802949,1.671418915,hht
369,0.363662082,1.028577271,hht
370,0.996487277,7.04943668,hht
371,1.490012189,3.152964321,hht
372,1.704590779,5.850714812,hht
373,0.632791052,0.511956493,hht
374,0.530905528,0.033470314,hht
375,0.965435611,8.485545302,hht
376,0.784875865,0.16792716,hht
377,1.208644884,16.61924803,hht
378,0.54218588,0.295805308,hht
379,0.787349573,1.368702197,hht
380,0.993717466,1.652273584,hht
381,1.370271947,14.11341065,hht
382,0.60837579,1.430372787,hht
383,0.760238155,0.681788003,hht
384,0.94884816,1.669813404,hht
385,1.015688878,1.553549808,hht
