,beta.ave,beta.diff,gamma.ave,gamma.diff,group
1,0.878389848,-0.05277249,0.96748782,0.181459783,hht
2,0.321974428,-0.025685602,0.733450954,0.568940217,hht
3,0.704714906,0.296466357,3.513122076,3.013122076,hht
7,0.281852005,0,0.045774665,0,hht
13,0.975249135,0.157144274,0.558755322,0.181727257,hht
14,0.617193367,-0.017284019,1.162058881,0.274882879,hht
15,0.790959128,-0.228951251,2.504770813,0.635930598,hht
17,0.727447404,0.083768255,0.847904688,0.490337537,hht
18,0.887790804,-0.030879586,1.673780655,0.785108373,hht
19,0.700223933,-0.123854444,0.52906779,0.21190829,hht
22,0.805070179,-0.177711265,1.5127001,0.745775692,hht
24,0.545666923,-0.138444699,1.030367688,0.175684151,hht
27,0.380197469,0.048782615,0.118722907,0.033634247,hht
28,1.343211611,0.245009495,2.991448977,2.162293048,hht
32,0.900275351,-0.093708573,1.068975906,0.213407905,hht
33,0.770908789,0.153916804,0.899684293,0.727992454,hht
34,0.96354708,-0.07893065,0.853985531,0.339901736,hht
35,0.459065467,0.081232135,0.458873134,0.212471247,hht
38,0.571620317,0.231270587,0.196384857,0.051296483,hht
40,0.535963231,0.06469467,1.491029508,0.456649683,hht
44,1.709934602,0.56360463,2.125747323,0.643811798,hht
45,1.403525628,0.26102455,2.725009237,0.240353373,hht
46,0.44203366,-0.031154418,2.09044476,0.229553331,hht
49,0.462728799,0.265199391,0.329521534,0.16090809,hht
50,0.927456496,0.208661109,3.441062538,0.256092359,hht
52,0.54216191,-0.156141354,0.897483456,0.277364509,hht
54,0.772996169,-0.104034802,1.185359633,0.774807689,hht
55,0.602031911,0.172709444,2.350752885,0.240871819,hht
56,0.640361976,0.087538509,0.344905638,0.228044841,hht
58,1.133766028,0.09645681,5.064394541,0.88228575,hht
59,0.911215993,-0.078753813,0.136854755,0.023480568,hht
65,2.144574381,-0.283701703,4.186127071,2.744598149,hht
66,0.806569429,-0.104272565,5.4279554,3.159055483,hht
67,0.73090944,-0.061491379,1.528972467,0.981512378,hht
69,0.988035074,-0.173216457,3.17147304,1.620934751,hht
70,0.777470215,0.008454333,0.279593871,0.182968476,hht
73,0.589657962,-0.015832146,1.893209201,0.351502615,hht
76,0.622939098,-0.036556318,0.072326224,0.008459501,hht
80,1.085443001,-0.261391062,1.993699061,0.00949802,hht
81,0.795319221,0.076210522,1.007694809,0.701526764,hht
82,0.924539949,-0.087821231,7.289953067,0.598342185,hht
83,0.437776612,0.027385748,0.546707801,0.105444151,hht
86,0.252659212,-0.020953165,0.059123876,0.027914508,hht
89,0.634940373,0.106748411,1.013229121,0.099502806,hht
90,0.594086532,-0.020695782,0.561908604,0.104609735,hht
91,0.651446829,0.029051058,1.451840867,0.437694142,hht
95,0.429748802,0.215583848,0.075862907,0.019815684,hht
96,2.099549637,0.003650902,7.35430006,5.305491559,hht
97,1.418268712,0.173569813,4.264572848,1.216550896,hht
98,0.494051083,-0.021902296,2.190363858,0.290034136,hht
101,0.585474206,0.140135967,0.343954282,0.142266227,hht
102,0.844239866,-0.317637001,1.258355039,0.262953113,hht
104,0.643015727,-0.168364729,1.576344625,0.746206941,hht
105,0.741173781,0.351579915,0.737077901,0.456723657,hht
106,1.027973246,-0.026577742,4.266976935,0.22049152,hht
109,0.695066587,-0.010553612,1.368719574,0.319536566,hht
110,0.747602278,-0.053958418,0.741739876,0.030233057,hht
115,0.997257556,0.045914744,4.781762535,1.467040116,hht
119,0.53943824,-0.04897103,6.520223519,0.184615293,hht
120,0.729492137,-0.136378778,0.954562475,0.424961298,hht
121,0.556675566,-0.002585435,0.898105271,0.187615882,hht
126,1.471965728,-0.07918939,3.375332996,2.292491748,hht
127,0.53437973,-0.064373841,1.72662102,1.194213154,hht
128,0.523738036,-0.098333898,2.833559358,0.702253561,hht
131,1.072695356,0.210969435,1.559630616,0.966802347,hht
133,0.786787876,0.061138133,0.117977211,0.02271032,hht
134,0.610154456,0.233971728,3.760948132,3.35879237,hht
135,0.479824021,0.017498143,0.184108502,0.049152517,hht
139,0.573367444,0.074716348,2.569683501,0.591811666,hht
140,0.713959172,-0.072674411,0.409654093,0.010629269,hht
143,0.930061998,-0.025540272,0.097615312,0.024610069,hht
146,0.746534314,-0.043719757,1.029852116,0.696929298,hht
147,0.672525864,-0.190881563,5.660835394,4.30631681,hht
