"","nodeid","parent","indv","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"1","(113, 303, 19)-(116, 317, 20)","0","hht01",1,2,0.878389847570035,-0.0527724896789282,0.967487819561148,0.181459782762707
"2","(107, 293, 13)-(113, 303, 19)","(113, 303, 19)-(116, 317, 20)","hht01",0.3,2,0.321974427817093,-0.0256856024571095,0.733450953953328,0.568940217311963
"3","(105, 293, 13)-(107, 293, 13)","(107, 293, 13)-(113, 303, 19)","hht01",0.3,2,0.70471490572829,0.296466356944226,3.51312207576639,3.01312207576639
"4","(104, 292, 13)-(105, 293, 13)","(105, 293, 13)-(107, 293, 13)","hht01",0.2,2,1.82723573084425,0.93809720761294,6.74590396005463,5.48099290408514
"5","(103, 291, 12)-(104, 292, 13)","(104, 292, 13)-(105, 293, 13)","hht01",0.2,2,3.32355204520743,0.572826536394125,12.3940165554971,5.71984474794927
"6","(102, 288, 5)-(103, 291, 12)","(103, 291, 12)-(104, 292, 13)","hht01",0,NA,NA,NA,NA,NA
"7","(102, 276, 18)-(103, 291, 12)","(103, 291, 12)-(104, 292, 13)","hht01",0.1,2,0.281852005245065,0,0.0457746647718919,0
"8","(102, 276, 18)-(103, 276, 19)","(102, 276, 18)-(103, 291, 12)","hht01",0,NA,NA,NA,NA,NA
"9","(102, 275, 17)-(102, 276, 18)","(102, 276, 18)-(103, 291, 12)","hht01",0,NA,NA,NA,NA,NA
"10","(97, 286, 18)-(104, 292, 13)","(104, 292, 13)-(105, 293, 13)","hht01",0,NA,NA,NA,NA,NA
"11","(94, 303, 10)-(105, 293, 13)","(105, 293, 13)-(107, 293, 13)","hht01",0,NA,NA,NA,NA,NA
"12","(101, 282, 18)-(107, 293, 13)","(107, 293, 13)-(113, 303, 19)","hht01",0,NA,NA,NA,NA,NA
"13","(106, 291, 27)-(113, 303, 19)","(113, 303, 19)-(116, 317, 20)","hht01",1,2,0.975249135219612,0.157144273922321,0.558755321976708,0.181727256544044
"14","(106, 291, 27)-(113, 288, 30)","(106, 291, 27)-(113, 303, 19)","hht01",1,2,0.617193367140831,-0.0172840192800648,1.16205888144405,0.274882879055398
"15","(113, 288, 30)-(119, 292, 32)","(106, 291, 27)-(113, 288, 30)","hht01",0.4,2,0.790959127873743,-0.228951251274843,2.50477081300677,0.63593059823878
"16","(119, 292, 32)-(130, 298, 48)","(113, 288, 30)-(119, 292, 32)","hht01",0,NA,NA,NA,NA,NA
