"","nodeid","parent","indv","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"1",1,0,"pond03_edited",1,2,0.576666666666667,-0.39,1.01470588235294,0.573529411764706
"2",2,1,"pond03_edited",1,3,0.444827586206897,NA,3.28888888888889,NA
"3",3,1,"pond03_edited",0.2,2,0.544642857142857,-0.133928571428571,0.188888888888889,0.0555555555555556
"4",4,2,"pond03_edited",0.9,3,0.525641025641026,NA,1.45,NA
"5",5,2,"pond03_edited",0,NA,NA,NA,NA,NA
"6",6,2,"pond03_edited",0,NA,NA,NA,NA,NA
"7",7,3,"pond03_edited",0,NA,NA,NA,NA,NA
"8",8,3,"pond03_edited",0,NA,NA,NA,NA,NA
"9",9,4,"pond03_edited",0.9,3,0.537878787878788,NA,0.892156862745098,NA
"10",10,4,"pond03_edited",0,NA,NA,NA,NA,NA
"11",11,4,"pond03_edited",0.5,2,0.661538461538462,-0.107692307692308,1.79577464788732,0.950704225352113
"12",12,9,"pond03_edited",0.7,2,0.6,-0.309090909090909,19.9583333333333,10.0416666666667
"13",13,9,"pond03_edited",0,NA,NA,NA,NA,NA
"14",14,9,"pond03_edited",0.2,3,0.431372549019608,NA,0.406896551724138,NA
"15",15,11,"pond03_edited",0.4,2,0.65,-0.2,0.9875,0.2875
"16",16,11,"pond03_edited",0,NA,NA,NA,NA,NA
"17",17,12,"pond03_edited",0.7,2,0.575,-0.225,1.78571428571429,0.987394957983193
"18",18,12,"pond03_edited",0,NA,NA,NA,NA,NA
"19",19,14,"pond03_edited",0,NA,NA,NA,NA,NA
"20",20,14,"pond03_edited",0,NA,NA,NA,NA,NA
"21",21,14,"pond03_edited",0,NA,NA,NA,NA,NA
"22",22,15,"pond03_edited",0.4,3,0.737254901960784,NA,1.24206349206349,NA
"23",23,15,"pond03_edited",0,NA,NA,NA,NA,NA
"24",24,17,"pond03_edited",0.5,3,0.4375,NA,2.98245614035088,NA
"25",25,17,"pond03_edited",0,NA,NA,NA,NA,NA
"26",26,22,"pond03_edited",0.2,3,0.640692640692641,NA,0.819338422391858,NA
"27",27,22,"pond03_edited",0,NA,NA,NA,NA,NA
"28",28,22,"pond03_edited",0,NA,NA,NA,NA,NA
"29",29,24,"pond03_edited",0.4,4,0.84375,NA,0.346296296296296,NA
"30",30,24,"pond03_edited",0,NA,NA,NA,NA,NA
"31",31,24,"pond03_edited",0,NA,NA,NA,NA,NA
"32",32,26,"pond03_edited",0,NA,NA,NA,NA,NA
"33",33,26,"pond03_edited",0,NA,NA,NA,NA,NA
"34",34,26,"pond03_edited",0,NA,NA,NA,NA,NA
"35",35,29,"pond03_edited",0.4,2,0.770833333333333,-0.0625,0.836879432624113,0.0638297872340426
"36",36,29,"pond03_edited",0,NA,NA,NA,NA,NA
"37",37,29,"pond03_edited",0,NA,NA,NA,NA,NA
"38",38,29,"pond03_edited",0,NA,NA,NA,NA,NA
"39",39,35,"pond03_edited",0.2,4,0.6075,NA,1.02752293577982,NA
"40",40,35,"pond03_edited",0.2,2,0.647058823529412,0.0588235294117647,0.913385826771654,0.165354330708661
"41",41,39,"pond03_edited",0,NA,NA,NA,NA,NA
"42",42,39,"pond03_edited",0,NA,NA,NA,NA,NA
"43",43,39,"pond03_edited",0,NA,NA,NA,NA,NA
"44",44,39,"pond03_edited",0,NA,NA,NA,NA,NA
"45",45,40,"pond03_edited",0,NA,NA,NA,NA,NA
"46",46,40,"pond03_edited",0,NA,NA,NA,NA,NA
"47",1,0,"pond05_edited",1,2,0.458139534883721,0.37906976744186,1.61538461538462,0.897435897435897
"48",2,1,"pond05_edited",0.9,2,0.472222222222222,-0.333333333333333,1.37755102040816,0.724489795918367
"49",3,1,"pond05_edited",0,NA,NA,NA,NA,NA
"50",4,2,"pond05_edited",0.8,3,0.41264367816092,NA,2.96875,NA
"51",5,2,"pond05_edited",0,NA,NA,NA,NA,NA
