"","nodeid","parent","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"1",1,0,1,2,0.287234042553192,0.0531914893617021,0.264423076923077,0.1875
"2",2,1,0,NA,NA,NA,NA,NA
"3",3,1,0,NA,NA,NA,NA,NA
"4",1,0,1,2,0.277777777777778,0.166666666666667,0.134199134199134,0.0248917748917749
"5",2,1,0,NA,NA,NA,NA,NA
"6",3,1,0,NA,NA,NA,NA,NA
"7",1,0,1,3,0.205128205128205,NA,0.830540037243948,NA
"8",2,1,0,NA,NA,NA,NA,NA
"9",3,1,0,NA,NA,NA,NA,NA
"10",4,1,0,NA,NA,NA,NA,NA
"11",1,0,1,5,0.552,NA,0.656939501779359,NA
"12",2,1,0,NA,NA,NA,NA,NA
"13",3,1,0,NA,NA,NA,NA,NA
"14",4,1,0,NA,NA,NA,NA,NA
"15",5,1,0,NA,NA,NA,NA,NA
"16",6,1,0,NA,NA,NA,NA,NA
"17",1,0,1,4,0.741379310344828,NA,1.7719298245614,NA
"18",2,1,0,NA,NA,NA,NA,NA
"19",3,1,0,NA,NA,NA,NA,NA
"20",4,1,0,NA,NA,NA,NA,NA
"21",5,1,0,NA,NA,NA,NA,NA
"22",1,0,1,2,0.55,0.15,0.768292682926829,0.378048780487805
"23",2,1,0,NA,NA,NA,NA,NA
"24",3,1,0,NA,NA,NA,NA,NA
"25",1,0,1,4,0.340909090909091,NA,0.408571428571429,NA
"26",2,1,0,NA,NA,NA,NA,NA
"27",3,1,0,NA,NA,NA,NA,NA
"28",4,1,0,NA,NA,NA,NA,NA
"29",5,1,0,NA,NA,NA,NA,NA
"30",1,0,2,1,0.487804878048781,NA,64.2105263157895,NA
"31",2,1,1,2,0.375,0.025,0.315573770491803,0.0983606557377049
"32",3,2,0,NA,NA,NA,NA,NA
"33",4,2,0,NA,NA,NA,NA,NA
"34",1,0,1,3,0.46078431372549,NA,1.58566978193146,NA
"35",2,1,0,NA,NA,NA,NA,NA
"36",3,1,0,NA,NA,NA,NA,NA
"37",4,1,0,NA,NA,NA,NA,NA
"38",1,0,1,2,0.411764705882353,0,0.194186046511628,0.0895348837209302
"39",2,1,0,NA,NA,NA,NA,NA
"40",3,1,0,NA,NA,NA,NA,NA
"41",1,0,1,2,0.826923076923077,0.0961538461538461,0.0601458080194411,0.0054678007290401
