"","class","spcs","id","nodeid","parent","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"1","GS","dougfir","df737g4",96,NA,1,2,1.11307901907357,-0.717983651226158,1.94155844155844,0.344155844155844
"2","GS","dougfir","df737g4",108,"96",0.75,2,0.658620689655173,-0.231034482758621,0.681818181818182,0.170454545454545
"3","GS","dougfir","df737g4",120,"108",0.75,3,0.405684754521964,NA,1.84074074074074,NA
"4","GS","dougfir","df737g4",110,"108",0.25,2,0.435483870967742,-0.145161290322581,0.176666666666667,0.116666666666667
"5","GS","dougfir","df737g4",122,"110",0,NA,NA,NA,NA,NA
"6","GS","dougfir","df737g4",5,"110",0,NA,NA,NA,NA,NA
"7","GS","dougfir","df737g4",132,"120",0,NA,NA,NA,NA,NA
"8","GS","dougfir","df737g4",121,"120",0.5,2,0.671052631578947,-0.131578947368421,1.5506329113924,0.462025316455696
"9","GS","dougfir","df737g4",134,"120",0.25,2,0.53,-0.07,0.105555555555556,0.0537037037037037
"10","GS","dougfir","df737g4",109,"134",0,NA,NA,NA,NA,NA
"11","GS","dougfir","df737g4",7,"134",0,NA,NA,NA,NA,NA
"12","GS","dougfir","df737g4",37,"121",0.5,2,0.573770491803279,0.180327868852459,1.01162790697674,0.186046511627907
"13","GS","dougfir","df737g4",133,"121",0.25,2,0.560975609756098,-0.0731707317073171,0.185534591194969,0.128930817610063
"14","GS","dougfir","df737g4",22,"133",0,NA,NA,NA,NA,NA
"15","GS","dougfir","df737g4",6,"133",0,NA,NA,NA,NA,NA
"16","GS","dougfir","df737g4",52,"37",0,NA,NA,NA,NA,NA
"17","GS","dougfir","df737g4",67,"37",0.25,2,0.641304347826087,-0.119565217391304,0.29126213592233,0.184466019417476
"18","GS","dougfir","df737g4",82,"67",0,NA,NA,NA,NA,NA
"19","GS","dougfir","df737g4",97,"67",0,NA,NA,NA,NA,NA
"20","GS","dougfir","df737g4",38,"96",0.5,3,0.270833333333333,NA,3.24932249322493,NA
"21","GS","dougfir","df737g4",9,"38",0.25,2,0.525316455696202,0.0822784810126582,0.538109756097561,0.513719512195122
"22","GS","dougfir","df737g4",69,"38",0.25,2,0.133423180592992,0.0148247978436658,0.531372549019608,0.292156862745098
